"","Candidate","Party","Year","Electorate","2014 Vote","median","lowr","upr","% Win"
"193","SOLE, Chris","ACT",2017,"Rongotai",NA,0.00135125941696509,0.000586686071264723,0.00498774566841815,0
"194","CROSSEN, Teall","Green Party",2017,"Rongotai",0.207744315,0.185226189646391,0.1647857648724,0.208862691980222,0
"195","EAGLE, Paul","Labour Party",2017,"Rongotai",0.498258554,0.407475723403853,0.382233332378761,0.432876681617868,0.9998
"196","FINLAYSON, Christopher","National Party",2017,"Rongotai",0.243904938,0.295703112021377,0.261972279828627,0.319415555294985,2e-04
"197","GENERIC NZ FIRST CANDIDATE","New Zealand First Party",2017,"Rongotai",0.020999795,0.0232167515740504,0.00814575288732588,0.0681541848178059,0
"198","EUSOFF, Sultan","United Future",2017,"Rongotai",0.002560951,0.00269660881009425,0.000384976367172032,0.0122548413371931,0
"199","GILLIES, Richard","Green Party",2017,"Rotorua",NA,0.0616323431482176,0.0496633538953292,0.0810232210019572,0
"200","SANDFORD, Ben","Labour Party",2017,"Rotorua",0.340098401,0.309407362696942,0.277872581913572,0.341375426638169,0
"201","McCLAY, Todd","National Party",2017,"Rotorua",0.563345633,0.582077696172393,0.543018047739109,0.618471938271216,1
"202","TABUTEAU, Fletcher","New Zealand First Party",2017,"Rotorua",0.064921787,0.0910338283670547,0.0321068189177328,0.185256361745297,0
"203","DAVIDSON, Brian","ACT",2017,"Selwyn",0.002348616,0.000370099725295234,7.46205580962507e-05,0.00176051520003466,0
"204","GENERIC GREEN PARTY CANDIDATE","Green Party",2017,"Selwyn",0.115490657,0.105951749116877,0.0966746054285188,0.11598812323413,0
"205","CONDON, Tony","Labour Party",2017,"Selwyn",0.108955376,0.164123307210829,0.142986916616369,0.186111820528284,0
"206","ADAMS, Amy","National Party",2017,"Selwyn",0.699683447,0.698301818343105,0.660451491979142,0.728913772097722,1
"207","GENERIC NZ FIRST CANDIDATE","New Zealand First Party",2017,"Selwyn",0.015210689,0.027241214837284,0.00968632736944819,0.070688684699546,0
"208","MILNE, Mike","ACT",2017,"Tamaki",0.013257965,0.00216592888254174,0.000354631295190033,0.00724927707618322,0
"209","LECKINGER, Richard","Green Party",2017,"Tamaki",0.103802672,0.0940908956667191,0.0850167068919937,0.103414934102765,0
"210","McDONALD, Sam","Labour Party",2017,"Tamaki",0.143165468,0.190788751850026,0.168939046863318,0.213652678155406,0
"211","O'CONNOR, Simon","National Party",2017,"Tamaki",0.714285714,0.715805209433283,0.67837683848173,0.746753381217305,1
"212","MOORE, Robert","Green Party",2017,"Taranaki-King Country",0.094386181,0.0855003732822329,0.0753589458542537,0.0973240759370273,0
"213","HUMPHREY, Hilary","Labour Party",2017,"Taranaki-King Country",0.169545548,0.201180385896881,0.171091827853181,0.230074806399053,0
"214","KURIGER, Barbara","National Party",2017,"Taranaki-King Country",0.681677977,0.599337786903464,0.565387368637669,0.633185214982224,1
