"","Electoral District","Year","Party","2014 Percent","median","lowr","upr"
"262","Nelson",2017,"ACT",0.004,0.00255470886651251,0.00123214017559127,0.00488713917147108
"263","Nelson",2017,"Conservative Party",0.055,0.000777269519880577,0.000370294416022571,0.00187273699374926
"264","Nelson",2017,"Green Party",0.1414,0.164559775793923,0.15304347090104,0.176437671726376
"265","Nelson",2017,"Labour Party",0.2471,0.233522359220317,0.216846269419639,0.251200586215477
"266","Nelson",2017,"Mana",0.0083,0.000523054592387341,0.000215822365800674,0.0018155079050201
"267","Nelson",2017,"Maori Party",0.0033,0.00305187101627832,0.00228997848868254,0.00614165352275861
"268","Nelson",2017,"National Party",0.4443,0.424833286619023,0.408541999264912,0.440583643763457
"269","Nelson",2017,"New Zealand First Party",0.0767,0.141515310243238,0.118051125982748,0.166303415113932
"270","Nelson",2017,"United Future",0.0025,0.00347690513225205,0.00126853408581592,0.00782690017922335
"271","New Lynn",2017,"ACT",0.0162,0.0103465709093757,0.00499016771114465,0.0169912091090004
"272","New Lynn",2017,"Conservative Party",0.0368,0.000520063969665547,0.000247760627447829,0.00125303129763586
"273","New Lynn",2017,"Green Party",0.1005,0.121803999758592,0.111107053961091,0.133503434175259
"274","New Lynn",2017,"Labour Party",0.3609,0.343316652976533,0.321720745504996,0.36441387349493
"275","New Lynn",2017,"Mana",0.011,0.000693204881477199,0.00028602964142258,0.00240609481388206
"276","New Lynn",2017,"Maori Party",0.0036,0.00332931383593999,0.00249815835129004,0.00625316643236654
"277","New Lynn",2017,"National Party",0.3923,0.372833286619023,0.356541999264912,0.388583643763457
"278","New Lynn",2017,"New Zealand First Party",0.0718,0.131492380988775,0.109083100754146,0.157057315234384
"279","New Lynn",2017,"United Future",0.0017,0.00260075827899596,0.000862603178354827,0.00665353721629496
